dateIDm,avgTemp,avgHigh,avgLow,avgHumRel,sumPrecipitationHgt,avgDailyPrecipitation,daysRain,avgWindSpd,avgWindChill,avgHighWindchill,avgLowWindchill,percentCloudy,percentSunny,Year,Month,Duration,Volume
201704,7.888935185185184,12.035555555555556,3.8355555555555565,71.21898148148149,167.9499999999999,0.2291666666666667,21.0,14.143981481481482,-3.1833333333333336,-2.9166666666666665,-3.5,0.22638888888888886,0.14444444444444446,2017,4,796.321956671742,175359
201705,13.234475806451615,17.445161290322574,8.958064516129031,69.27038530465948,114.24999999999996,0.16801075268817206,18.0,13.92069892473118,,,,0.28091397849462363,0.1263440860215054,2017,5,820.2363574299652,521456
201706,18.808379629629627,22.81111111111111,14.58888888888889,69.36203703703703,133.25,0.10833333333333336,16.0,13.251388888888894,,,,0.25,0.1680555555555556,2017,6,832.4552935562027,653776
201707,20.689336917562727,24.791935483870965,16.709677419354836,71.69601254480284,79.8,0.09408602150537634,15.0,10.767025089605736,,,,0.19623655913978494,0.24327956989247315,2017,7,867.414583458278,767006
201708,19.93239247311828,24.15376344086021,15.608602150537633,69.56608422939068,88.29999999999998,0.07123655913978494,12.0,10.907258064516132,,,,0.21102150537634407,0.2446236559139785,2017,8,837.2943521639116,747720
201709,18.29407407407407,23.130555555555553,13.963333333333333,72.60300925925927,47.40000000000001,0.05416666666666666,7.0,10.05625,,,,0.17777777777777776,0.2625,2017,9,785.5917389267007,646623
201710,13.368593189964153,17.794086021505368,9.03225806451613,72.34050179211471,115.65,0.10887096774193547,14.0,12.836693548387098,-2.5,-2.0,-3.0,0.206989247311828,0.2029569892473118,2017,10,723.4672121687047,493857
201711,3.1194907407407415,6.7377777777777785,-0.9266666666666664,70.72731481481482,54.05,0.1472222222222222,8.0,11.807407407407405,-5.312028492949546,-2.95,-7.35,0.35000000000000003,0.08888888888888888,2017,11,623.731259495594,131640
201804,3.974398148148148,7.607777777777778,0.1822222222222219,63.89421296296296,116.35,0.18194444444444446,16.0,14.675462962962966,-6.150012841189313,-4.03921568627451,-8.411764705882353,0.2444444444444445,0.10555555555555557,2018,4,726.835318185465,224366
201805,15.639538530465948,21.011827956989254,9.978494623655914,55.96662186379928,57.15,0.07795698924731183,12.0,13.12612007168459,,,,0.20564516129032265,0.23655913978494625,2018,5,828.9998696089833,766924
201806,18.841944444444444,23.49333333333333,14.05,62.32731481481481,95.05,0.11388888888888887,13.0,12.32592592592593,,,,0.2305555555555556,0.2055555555555556,2018,6,828.9998704509259,841380
201807,24.402195340501795,29.195698924731182,19.288172043010753,60.43817204301076,67.4,0.04838709677419355,9.0,11.705421146953409,,,,0.20295698924731184,0.2607526881720429,2018,7,831.1913451604267,904026
201808,22.74484767025089,27.158064516129038,18.59462365591398,71.27822580645163,49.75,0.07526881720430108,18.0,10.666666666666666,,,,0.2647849462365592,0.2043010752688172,2018,8,827.3165626188103,907435
201809,17.43518518518518,21.84111111111111,13.097777777777774,73.00925925925927,101.0,0.08888888888888888,16.0,10.922685185185184,,,,0.24305555555555555,0.2111111111111111,2018,9,780.1740976364447,755599
201810,6.965770609318997,10.101075268817207,3.7096774193548394,73.57056451612901,89.14999999999998,0.1397849462365591,20.0,13.567876344086022,-3.964652014652015,-3.0,-5.1190476190476195,0.3077956989247312,0.10483870967741936,2018,10,674.2922270595247,463068
201811,1.9821296296296296,4.173333333333333,-0.6666666666666669,75.23287037037038,66.45,0.18333333333333326,8.0,15.031944444444449,-6.704231643924626,-4.796296296296296,-9.0,0.2638888888888889,0.125,2018,11,612.4271772483107,137203
201904,5.394444444444443,9.156666666666666,1.7077777777777778,66.24537037037037,126.85,0.18472222222222226,19.0,15.189351851851852,-5.734276010679754,-4.181818181818182,-6.8939393939393945,0.24722222222222226,0.14027777777777786,2019,4,758.7654681820967,212129
201905,12.099843189964155,16.15376344086021,7.973118279569894,65.41644265232976,101.84999999999998,0.12231182795698922,21.0,12.157258064516125,-5.0,-5.0,-5.0,0.3010752688172042,0.1021505376344086,2019,5,802.3616477434006,704600
201906,18.56263888888889,23.152222222222218,13.755555555555556,61.41666666666666,110.15,0.0763888888888889,10.0,11.682870370370368,,,,0.23194444444444445,0.20972222222222225,2019,6,832.7482579393998,830195
201907,23.640165770609322,28.27419354838709,18.692473118279565,63.577732974910404,56.75,0.03225806451612903,10.0,11.214157706093195,,,,0.1935483870967742,0.2594086021505376,2019,7,836.0559120641493,984081
201908,20.846236559139786,25.241935483870964,16.28172043010753,64.84856630824372,55.7,0.06451612903225808,13.0,10.969534050179211,,,,0.17338709677419356,0.2594086021505377,2019,8,824.6495650611224,934844
201909,15.875370370370376,20.167777777777783,11.473333333333333,72.14259259259259,101.55000000000004,0.1111111111111111,17.0,10.728703703703703,,,,0.2222222222222222,0.2041666666666667,2019,9,766.8521404670693,779713
201910,9.875156810035842,13.893548387096775,5.944086021505378,75.36895161290323,262.75,0.16129032258064518,18.0,11.174955197132617,-2.5,-2.0,-3.0,0.22849462365591394,0.14381720430107525,2019,10,694.4603373860784,554439
202004,5.322453703703704,9.24888888888889,1.0200000000000002,55.032407407407405,74.90000000000002,0.11944444444444445,18.0,19.13333333333333,-4.977021329365079,-3.40625,-6.375,0.2416666666666667,0.19722222222222224,2020,4,1023.9980931402364,60833
202005,13.75625,18.43763440860215,8.570967741935485,49.63306451612904,28.35,0.04032258064516129,10.0,17.137096774193544,-3.25,-3.0,-3.5,0.2500000000000001,0.19354838709677416,2020,5,1068.2255052649193,322702
202006,20.25535829307568,25.25777777777777,14.91777777777778,59.41851851851853,27.200000000000006,0.04722222222222223,11.0,12.750925925925925,,,,0.2055555555555556,0.23194444444444445,2020,6,969.8400148446968,476938
202007,24.11832437275985,28.716129032258056,19.47956989247312,66.0241935483871,104.10000000000002,0.06720430107526883,12.0,11.521505376344088,,,,0.23521505376344085,0.21236559139784947,2020,7,901.8142394228634,567214
202008,20.545026881720425,24.62150537634409,16.50860215053763,72.03001792114694,208.8,0.11827956989247312,15.0,10.612455197132617,,,,0.18145161290322576,0.2594086021505377,2020,8,885.3897022814393,532953
202009,15.18053240740741,19.455555555555545,10.737777777777776,71.0599537037037,93.45000000000002,0.06805555555555556,13.0,11.441666666666665,,,,0.2527777777777778,0.18055555555555555,2020,9,834.7748365188459,467638
202010,8.925985663082434,12.644086021505375,5.077419354838709,71.95116487455195,115.45,0.13440860215053765,16.0,11.920698924731187,-4.895446950710109,-3.1666666666666665,-6.3611111111111125,0.2674731182795699,0.13709677419354838,2020,10,816.2699413222415,296194
202011,8.072037037037038,12.457777777777775,3.5911111111111107,68.1111111111111,13.75,0.05833333333333333,7.0,13.56851851851852,-4.258541921041921,-2.6190476190476195,-5.642857142857142,0.2138888888888889,0.22222222222222215,2020,11,830.3196259001976,125528
